Date	NVDAClose	Date	VGTClose
3/22/2018	6.04625	3/22/2018	173.25
3/21/2018	6.214	3/21/2018	178.029999
3/20/2018	6.2395	3/20/2018	178.809998
3/19/2018	6.025	3/19/2018	178.630005
3/16/2018	6.262	3/16/2018	182.210007
3/15/2018	6.2335	3/15/2018	182.800003
3/14/2018	6.2185	3/14/2018	182.759995
3/13/2018	6.19275	3/13/2018	182.720001
3/12/2018	6.244	3/12/2018	184.960007
3/9/2018	6.13325	3/9/2018	184.309998
3/8/2018	6.0295	3/8/2018	180.740005
3/7/2018	6.046	3/7/2018	180.039993
3/6/2018	6.054	3/6/2018	178.910004
3/5/2018	5.89125	3/5/2018	178.309998
3/2/2018	5.9135	3/2/2018	176.5
3/1/2018	5.80525	3/1/2018	174.550003
2/28/2018	6.05	2/28/2018	177.339996
2/27/2018	6.1515	2/27/2018	178.509995
2/26/2018	6.1645	2/26/2018	180.160004
2/23/2018	6.14825	2/23/2018	177.509995
2/22/2018	6.05375	2/22/2018	173.970001
2/21/2018	6.03775	2/21/2018	173.910004
2/20/2018	6.227	2/20/2018	174.779999
2/16/2018	6.096	2/16/2018	174.350006
2/15/2018	6.1625	2/15/2018	174.789993
2/14/2018	6.0355	2/14/2018	171.479996
2/13/2018	5.81575	2/13/2018	168.050003
2/12/2018	5.70075	2/12/2018	167.529999
2/9/2018	5.802	2/9/2018	164.589996
2/8/2018	5.438	2/8/2018	160.710007
2/7/2018	5.72	2/7/2018	167.610001
2/6/2018	5.6395	2/6/2018	169.509995
2/5/2018	5.3425	2/5/2018	165.330002
2/2/2018	5.838	2/2/2018	172.059998
2/1/2018	6.0125	2/1/2018	177.039993
1/31/2018	6.145	1/31/2018	177.169998
1/30/2018	6.068	1/30/2018	175.929993
1/29/2018	6.17125	1/29/2018	177.710007
1/26/2018	6.08325	1/26/2018	179.190002
1/25/2018	5.90875	1/25/2018	176.399994
1/24/2018	5.895	1/24/2018	176.860001
1/23/2018	5.97275	1/23/2018	178.449997
1/22/2018	5.84225	1/22/2018	177.369995
1/19/2018	5.75275	1/19/2018	176.009995
1/18/2018	5.611	1/18/2018	175.639999
1/17/2018	5.618	1/17/2018	175.289993
1/16/2018	5.50275	1/16/2018	172.649994
1/12/2018	5.5745	1/12/2018	173.429993
1/11/2018	5.602	1/11/2018	172.440002
1/10/2018	5.592	1/10/2018	171.320007
